stuID,Class Implementation,Constructor,Inheritance,toString(),Encryption(),Hunting,total,Note
20087913,2.1,0.9,1.1,0.3,3,2,9.4,
8529208,2.1,0.9,1.1,0.3,3,2,9.4,
20128248,2.1,0.9,1.1,0.3,3,2,9.4,
20115863,2.1,0.9,1.1,0.9,2.4,1.6,9,
20113619,2.1,0.9,1.1,0.9,1.8,2,8.8,
20110681,2.1,0.9,1.1,0.3,2.4,2,8.8,
20117275,2.1,0.9,1.1,0.9,1.2,2,8.2,
20103834,2.1,0.9,1.1,0.9,1.2,2,8.2,
20111972,2.1,0.9,1.1,0.9,1.2,2,8.2,
20115710,2.1,0.9,1.1,0.9,1.2,2,8.2,
20126202,2.1,0.9,1.1,0,2.4,1.6,8.1,
20111415,2.1,0.9,1.1,0.9,1.2,1.6,7.8,
20025771,2.1,0.9,1.1,0.9,0.6,2,7.6,
20082250,2.1,0.9,1.1,0.9,0.6,2,7.6,
10153518,2.1,0.9,1.1,0.9,0.6,2,7.6,
20091160,2.1,0.9,1.1,0.9,0.6,2,7.6,
20111910,2.1,0.9,1.1,0.9,0.6,2,7.6,
20284951,2.1,0.9,1.1,0.9,0.6,2,7.6,
20115899,2.1,0.9,1.1,0.9,0,2,7,
20118190,2.1,0.9,1.1,0.9,0,2,7,
20286131,2.1,0.9,1.1,0.9,0,2,5,Compile Failed -2
20098510,2.1,0.9,1.1,0.9,0,2,7,
20285709,2.1,0.9,1.1,0,1.2,1.6,6.9,
20140210,2.1,0.9,1.1,0,0.6,2,6.7,
20117902,2.1,0.9,1.1,0.6,0,2,6.7,
20105131,2.1,0.9,1.1,0.9,0,1.6,6.6,
20127335,2.1,0.9,1.1,0.9,0,1.6,5.6,No Source Code -1
20063498,2.1,0.9,1.1,0.3,0,2,6.4,
20284975,2.1,0.9,1.1,0.3,0,2,6.4,
20122593,2.1,0.9,1.1,0,0,2,6.1,
20118059,2.1,0.9,1.1,0.9,0,0,5,
20099538,2.1,0.9,1.1,0,0,0,4.1,
20113413,2.1,0.9,1.1,0,0,0,8.8,
20118047,2.1,0.9,1.1,0.9,3,2,10,
20254396,2.1,0.9,1.1,0.9,3,2,10,
20110746,1.4,0.6,0.55,0,0,0,2.55,
20123315,1.4,0.6,0.55,0,0,0,2.55,
20120868,1.4,0.6,0.55,0,0,0,2.55,
20081464,2.1,0.3,0,0,0,0,4,
20283751,1.4,0,0,0,0,0,1.4,
20047470,0.7,0.3,0,0,0,0,1,
20122907,1.4,0.6,0.55,0.6,0,1.6,4.75,
avg,2.057142857,0.869387755,1.049489796,0.731632653,2.032653061,1.734693878,8.444387755,
std,0.196358603,0.132702414,0.210239787,0.333861178,1.285508084,0.631656641,2.324332103,
